Food,Service,Ambience,Worthiness,Drinks,Positive
food,kind,small,cheap,wine,great
delicious,fast,crowded,expensive,beer,good
beverage,slow,decor,deal,coffee,excellent
tasteful,quick,old,promotion,drinks,friendly
tasteless,mean,new,worth,bar,delicious
appetizer,nice,cozy,special,beer,different
menu,service,cold,spend,wine,stars
restaurant,friendly,warm,money,water,nice
pizza,waiter,ambience,combo,tea,worth
pasta,waitress,area,price,drink,perfect
coffee,staff,inside,cost,cocktail,super
eat,personal,outside,quality,mocktail,happy
lunch,attentive,clean,product,soda,like
cold,forget,table,low,juice,well
hot,order,chair,high,alcohol,best
soup,reservation,comfortable,fair,,nice
salad,hospitality,location,value,,amazing
portion,prepare,neighborhood,discount,,much
small,worker,space,unique,,best
hungry,wait,style,offer,,definitely
dinner,time,place,prices,,awesome
breakfast,experience,location,free,,pretty
chicken,excellent,bar,,,love
meat,home,restaurant,,,well
sauce,customer,room,,,new
dish,room,small,,,recommend
burger,help,area,,,favorite
flavour,,clean,,,
cheese,,store,,,
meal,,night,,,
fresh,,,,,
sandwich,,,,,
beef,,,,,
fried,,,,,
sushi,,,,,
